"package_name","requested_version","installed_version","dependency_type","license"
"rehype-autolink-headings","^7.1.0","7.1.0","dependency","MIT"
"rehype-document","^7.0.3","7.0.3","dependency","MIT"
"rehype-raw","^7.0.0","7.0.0","dependency","MIT"
"rehype-slug","^6.0.0","6.0.0","dependency","MIT"
"rehype-stringify","^10.0.1","10.0.1","dependency","MIT"
"remark-gfm","^4.0.1","4.0.1","dependency","MIT"
"remark-parse","^11.0.0","11.0.0","dependency","MIT"
"remark-rehype","^11.1.2","11.1.2","dependency","MIT"
"remark-toc","^9.0.0","9.0.0","dependency","MIT"
"shadcn","^3.8.4","3.8.5","devDependency","MIT"
"tailwind-merge","^3.4.0","3.6.0","dependency","MIT"
"tailwindcss","^4.1.18","4.3.0","devDependency","MIT"
"tar-stream","^3.2.0","3.2.0","dependency","MIT"
"three","^0.184.0","0.184.0","dependency","MIT"
"turndown","^7.2.2","7.2.4","devDependency","MIT"
"tw-animate-css","^1.4.0","1.4.0","devDependency","MIT"
"typescript","^5.7.2","5.9.3","devDependency","Apache-2.0"
"unified","^11.0.5","11.0.5","dependency","MIT"
"unist-util-visit","^5.0.0","5.1.0","dependency","MIT"
"use-intl","^4.8.2","4.12.0","dependency","MIT"
"uuid","^13.0.0","13.0.2","dependency","MIT"
"vite","^7.3.1","7.3.3","devDependency","MIT"
"vite-plugin-svgr","^4.5.0","4.5.0","devDependency","MIT"
"vite-tsconfig-paths","^5.1.4","5.1.4","devDependency","MIT"
"xlsx","^0.18.5","0.18.5","dependency","Apache-2.0"
"yargs","^18.0.0","18.1.0","devDependency","MIT"
"zod","^4.3.6","4.4.3","dependency","MIT"
"zustand","^5.0.11","5.0.13","dependency","MIT"

